Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
139.61281991004944	18	-179.96972151441375	-6.1879993521225325	36.924684269632984	-95.46202283629695	-305.41211787752866	20.0	0.0	252	191520	-174.26287248940318	-5.970763023799473
146.50594782829285	19	-177.10846251606517	-6.053375785322476	36.10120752183801	-97.56290639036243	-339.4517824101224	20.0	0.0	252	201600	-170.83660409022437	-5.261815057346919
153.45273685455322	20	-168.02297082465233	-5.4852974195488	35.418773485982484	-89.63073463782422	-300.5574396794794	20.0	0.0	252	211680	-154.40809494779344	-5.214612356016279
160.46213507652283	21	-162.50051598843305	-5.1321046202801694	37.80819538496923	-88.25095793698674	-323.4691123541886	20.0	0.0	252	221760	-156.74971452698148	-4.952021294527204
168.1005518436432	22	-155.0608543176552	-4.906436536369561	33.82105074182863	-75.86359707640162	-293.9755410301038	20.0	0.0	252	231840	-144.27372664339424	-4.952633171661751
175.1459949016571	23	-146.36665489131272	-4.399165598286171	30.079813514285828	-79.65319887574323	-277.48468982114866	20.0	0.0	252	241920	-139.5879598782887	-4.136337153109935
182.20205998420715	24	-139.88858362968895	-4.157228312424071	31.944942123664195	-72.10897708625991	-310.7237760984555	20.0	0.0	252	252000	-137.63599561591013	-3.722762609780925
189.25151109695435	25	-134.9622126671773	-3.9242006665113496	30.996482670531535	-73.31233564559584	-265.2412191820423	20.0	0.0	252	262080	-131.1577613011252	-3.6595093423647533
196.1752691268921	26	-128.69086083741536	-3.5380215290014645	28.21785785833806	-68.32175685083685	-252.82866871694847	20.0	0.0	252	272160	-123.47115187739792	-3.1281685227218445
203.11230897903442	27	-121.00953471393764	-3.4031754387419397	26.313977076156387	-75.060167979799	-256.4175701432005	20.0	0.0	252	282240	-121.52516565291035	-3.291831255208533
210.0461549758911	28	-116.72244645909944	-3.153014195041601	23.311420268862506	-52.882881949618636	-210.91887103363396	20.0	0.0	252	292320	-112.36182451672569	-2.9749861940466737
217.0022897720337	29	-113.25646999937088	-3.0723381053095675	24.687349310159203	-66.02939892552827	-222.51345923740394	20.0	0.0	252	302400	-107.12620333604491	-2.9459970351425127
224.19975996017456	30	-108.34761629570366	-2.8133458553929054	23.83608941743457	-64.72669641465178	-323.64094351002393	20.0	0.0	252	312480	-107.3343090627006	-2.8469798685584777
231.6134068965912	31	-102.44852194827727	-2.6704688853501772	19.328385646612215	-55.57097258513163	-199.06934754888172	20.0	0.0	252	322560	-103.20559080225978	-2.8045882571342005
238.59174299240112	32	-101.81707361594869	-2.6649178848576147	20.819120800966648	-62.94579347864828	-207.35139850877067	20.0	0.0	252	332640	-94.91754979039433	-2.1625199364845997
245.5006639957428	33	-98.15294324597326	-2.465065798530232	22.0038910435267	-59.81886906970704	-333.3505644534992	19.983333333333334	0.3647678104706548	252	342720	-92.30868659991563	-2.376050602705405
252.37066388130188	34	-94.26721029569529	-2.325404986940676	17.62847155290784	-56.55976280258796	-170.36692599869647	19.997916666666665	0.04559597630883184	252	352801	-90.07986137842828	-2.168422366812339
259.25497484207153	35	-90.76809789877623	-2.3087111974029795	18.13925718439126	-56.033084233502564	-182.1691546564571	20.0	0.0	252	362881	-86.72544161921014	-2.286362925602974
266.1484410762787	36	-88.14624962973987	-2.172216425488201	17.871116418678	-50.22363156302718	-166.96224171356374	20.0	0.0	252	372961	-84.79098935661574	-2.1994112940667474
273.07082200050354	37	-85.59191287512758	-2.0359190798770883	15.728868537787946	-53.81672074700311	-208.21890055347976	20.0	0.0	252	383041	-82.15441539554907	-1.753692380473562
